,Station_ID,Station_name,Latitude,Longitude,Ville,Pays
255,ES1179A,ES1179A-SAN ANTONI,38.352776,-0.486669,ALICANTE/ALACANT,ES
256,ES1180A,ES1180A-GOYA,39.507500,-0.410842,BURJASSOT,ES
257,ES1181A,ES1181A-QUART DE POBLET,39.481111,-0.447222,QUART DE POBLET,ES
258,ES1182A,ES1182A-GANDÍA,38.966667,-0.190000,GANDIA,ES
259,ES1183A,ES1183A-PATERNA,39.506111,-0.445289,PATERNA,ES
260,ES1184A,ES1184A-CASCO ANTIGUO,39.675003,-0.273061,SAGUNTO/SAGUNT,ES
261,ES1185A,ES1185A-SAGUNT PORT,39.667222,-0.234722,SAGUNTO/SAGUNT,ES
262,ES1192A,ES1192A-ALCALÁ FINAL,40.450279,-3.604444,MADRID,ES
263,ES1193A,ES1193A-CASA DE CAMPO,40.420000,-3.749167,MADRID,ES
264,ES1195A,ES1195A-IE-SAGRERA,41.423336,2.191675,BARCELONA,ES
265,ES1200A,ES1200A-AQ-LA SENIA,40.634167,0.281403,SÉNIA (LA),ES
266,ES1201A,ES1201A-AL-AGULLANA,42.392778,2.843056,AGULLANA,ES
267,ES1208A,ES1208A-AF-REUS,41.152222,1.121389,REUS,ES
268,ES1215A,ES1215A-AP-AMPOSTA,40.708056,0.582778,AMPOSTA,ES
269,ES1216A,ES1216A-AI-ALCOVER,41.262501,1.168611,ALCOVER,ES
270,ES1217A,ES1217A-AM-JUNEDA,41.554167,0.810278,JUNEDA,ES
271,ES1218A,ES1218A-AG-SANT FOST,41.528889,2.223611,SANT FOST DE CAMPSENTELLES,ES
272,ES1220A,ES1220A-SANT JOSEP DE CALASSANÇ,41.832778,1.756667,SÚRIA,ES
273,ES1222A,ES1222A-AR-SANTA MARIA DE PALAUTORDERA,41.693056,2.441944,SANTA MARIA DE PALAUTORDERA,ES
274,ES1224A,ES1224A-CEMENTERIO DEL CARMEN,41.676113,-4.695278,VALLADOLID,ES
275,ES1225A,ES1225A-AB-LLEIDA,41.630000,0.614167,LLEIDA,ES
276,ES1228A,ES1228A-SAN MIGUEL DE DUEÑAS,42.596943,-6.520833,CONGOSTO,ES
277,ES1229A,ES1229A-VILLAVERDE,42.613888,-6.483889,CONGOSTO,ES
278,ES1231A,ES1231A-AT-SANT CUGAT DEL VALLES,41.477778,2.090000,SANT CUGAT DEL VALLÈS,ES
279,ES1234A,ES1234A-PASTORIZA-REPSOL,43.335278,-8.471944,ARTEIXO,ES
280,ES1235A,ES1235A-ARTEIXO,43.307500,-8.491944,ARTEIXO,ES
281,ES1237A,ES1237A-TXURDINAGA,43.249722,-2.906111,BILBAO,ES
282,ES1238A,ES1238A-PLAZA DE ESPAÑA,39.468334,-0.380833,VALENCIA,ES
283,ES1239A,ES1239A-VALÈNCIA-PISTA DE SILLA,39.456111,-0.375833,VALENCIA,ES
284,ES1240A,ES1240A-NUEVO CENTRO,39.481389,-0.388058,VALENCIA,ES
285,ES1244A,ES1244A-MAZARREDO,43.267500,-2.918333,BILBAO,ES
286,ES1246A,ES1246A-CAN MISSES,38.916667,1.419444,EIVISSA,ES
287,ES1247A,ES1247A-DALT VILA,38.908333,1.436667,EIVISSA,ES
288,ES1248A,ES1248A-AO-SORT,42.406944,1.129722,SORT,ES
